Driver,LapNumber,Compound,TyreLife,LapTime,PitInTime,PitOutTime,Position,Team,LapTimeSec,Pitted,Year,RaceName,TotalLaps,RollingAvgLapTime,LapTimeDelta,DegRate,DegAccel,TyreHealthPct,PaceLoss,StintLength,LapsRemaining,RaceProgress,CompoundCode,InPitWindow,PitLabel
ALB,1,SOFT,1,0 days 00:01:46.453000,,,12.0,Williams,106.453,0,2023,Bahrain,57.0,106.453,0.0,0.0,0.0,95.0,9.308999999999997,1,56.0,0.017543859649122806,0,0,STAY_OUT
ALB,2,SOFT,2,0 days 00:01:40.430000,,,12.0,Williams,100.43,0,2023,Bahrain,57.0,103.4415,-6.022999999999996,-6.022999999999996,-6.022999999999996,90.0,3.2860000000000014,2,55.0,0.03508771929824561,0,0,STAY_OUT
ALB,3,SOFT,3,0 days 00:01:40.143000,,,12.0,Williams,100.143,0,2023,Bahrain,57.0,102.342,-0.28700000000000614,-0.28700000000000614,5.73599999999999,85.0,2.9989999999999952,3,54.0,0.05263157894736842,0,0,STAY_OUT
ALB,4,SOFT,4,0 days 00:01:39.761000,,,11.0,Williams,99.761,0,2023,Bahrain,57.0,100.11133333333333,-0.382000000000005,-0.382000000000005,-0.09499999999999886,80.0,2.6169999999999902,4,53.0,0.07017543859649122,0,0,STAY_OUT
ALB,5,SOFT,5,0 days 00:01:40.606000,,,11.0,Williams,100.606,0,2023,Bahrain,57.0,100.17,0.8449999999999989,0.8449999999999989,1.2270000000000039,75.0,3.461999999999989,5,52.0,0.08771929824561403,0,0,STAY_OUT
ALB,6,SOFT,6,0 days 00:01:40.744000,,,11.0,Williams,100.744,0,2023,Bahrain,57.0,100.37033333333333,0.13800000000000523,0.13800000000000523,-0.7069999999999936,70.0,3.5999999999999943,6,51.0,0.10526315789473684,0,0,STAY_OUT
ALB,7,SOFT,7,0 days 00:01:40.646000,,,11.0,Williams,100.646,0,2023,Bahrain,57.0,100.66533333333332,-0.09799999999999898,-0.09799999999999898,-0.2360000000000042,65.0,3.5019999999999953,7,50.0,0.12280701754385964,0,0,STAY_OUT
ALB,8,SOFT,8,0 days 00:01:40.918000,,,11.0,Williams,100.918,0,2023,Bahrain,57.0,100.76933333333334,0.27200000000000557,0.27200000000000557,0.37000000000000455,60.0,3.774000000000001,8,49.0,0.14035087719298245,0,0,PIT_SOON
ALB,9,SOFT,9,0 days 00:01:40.969000,,,11.0,Williams,100.969,0,2023,Bahrain,57.0,100.84433333333334,0.05099999999998772,0.05099999999998772,-0.22100000000001785,55.0,3.8249999999999886,9,48.0,0.15789473684210525,0,0,PIT_SOON
ALB,10,SOFT,10,0 days 00:01:41.119000,,,11.0,Williams,101.119,0,2023,Bahrain,57.0,101.002,0.15000000000000568,0.15000000000000568,0.09900000000001796,50.0,3.9749999999999943,10,47.0,0.17543859649122806,0,0,PIT_SOON
ALB,11,SOFT,11,0 days 00:01:43.948000,0 days 01:21:10.913000,,12.0,Williams,103.948,1,2023,Bahrain,57.0,102.01199999999999,2.8289999999999935,2.8289999999999935,2.678999999999988,44.99999999999999,6.803999999999988,11,46.0,0.19298245614035087,0,0,PIT_NOW
ALB,12,SOFT,1,0 days 00:01:59.445000,,0 days 01:21:35.928000,15.0,Williams,119.445,0,2023,Bahrain,57.0,108.17066666666665,15.497,15.497,12.668000000000006,95.0,22.300999999999988,1,45.0,0.21052631578947367,0,0,STAY_OUT
ALB,13,SOFT,2,0 days 00:01:38.649000,,,11.0,Williams,98.649,0,2023,Bahrain,57.0,107.34733333333334,-20.795999999999992,-20.795999999999992,-36.29299999999999,90.0,1.5049999999999955,2,44.0,0.22807017543859648,0,0,STAY_OUT
ALB,14,SOFT,3,0 days 00:01:38.472000,,,11.0,Williams,98.472,0,2023,Bahrain,57.0,105.52199999999999,-0.1770000000000067,-0.1770000000000067,20.618999999999986,85.0,1.3279999999999887,3,43.0,0.24561403508771928,0,0,STAY_OUT
ALB,15,SOFT,4,0 days 00:01:39.158000,,,10.0,Williams,99.158,0,2023,Bahrain,57.0,98.75966666666666,0.686000000000007,0.686000000000007,0.8630000000000138,80.0,2.013999999999996,4,42.0,0.2631578947368421,0,1,STAY_OUT
ALB,16,SOFT,5,0 days 00:01:39.253000,,,10.0,Williams,99.253,0,2023,Bahrain,57.0,98.961,0.09499999999999886,0.09499999999999886,-0.5910000000000082,75.0,2.1089999999999947,5,41.0,0.2807017543859649,0,1,STAY_OUT
ALB,17,SOFT,6,0 days 00:01:39.094000,,,10.0,Williams,99.094,0,2023,Bahrain,57.0,99.16833333333334,-0.15900000000000603,-0.15900000000000603,-0.2540000000000049,70.0,1.9499999999999886,6,40.0,0.2982456140350877,0,1,STAY_OUT
ALB,18,SOFT,7,0 days 00:01:39.049000,,,10.0,Williams,99.049,0,2023,Bahrain,57.0,99.132,-0.044999999999987494,-0.044999999999987494,0.11400000000001853,65.0,1.9050000000000011,7,39.0,0.3157894736842105,0,1,STAY_OUT
ALB,19,SOFT,8,0 days 00:01:39.272000,,,10.0,Williams,99.272,0,2023,Bahrain,57.0,99.13833333333334,0.22299999999999898,0.22299999999999898,0.26799999999998647,60.0,2.128,8,38.0,0.3333333333333333,0,1,STAY_OUT
ALB,20,SOFT,9,0 days 00:01:39.299000,,,10.0,Williams,99.299,0,2023,Bahrain,57.0,99.20666666666666,0.027000000000001023,0.027000000000001023,-0.19599999999999795,55.0,2.155000000000001,9,37.0,0.3508771929824561,0,1,STAY_OUT
ALB,21,SOFT,10,0 days 00:01:39.591000,,,10.0,Williams,99.591,0,2023,Bahrain,57.0,99.38733333333333,0.2919999999999874,0.2919999999999874,0.26499999999998636,50.0,2.4469999999999885,10,36.0,0.3684210526315789,0,1,STAY_OUT
ALB,22,SOFT,11,0 days 00:01:39.588000,,,10.0,Williams,99.588,0,2023,Bahrain,57.0,99.49266666666666,-0.0030000000000001137,-0.0030000000000001137,-0.2949999999999875,44.99999999999999,2.4439999999999884,11,35.0,0.38596491228070173,0,1,STAY_OUT
ALB,23,SOFT,12,0 days 00:01:39.802000,,,10.0,Williams,99.802,0,2023,Bahrain,57.0,99.66033333333333,0.21400000000001285,0.21400000000001285,0.21700000000001296,40.0,2.6580000000000013,12,34.0,0.40350877192982454,0,1,PIT_SOON
ALB,24,SOFT,13,0 days 00:01:39.890000,,,10.0,Williams,99.89,0,2023,Bahrain,57.0,99.75999999999999,0.08799999999999386,0.08799999999999386,-0.12600000000001899,35.0,2.745999999999995,13,33.0,0.42105263157894735,0,1,PIT_SOON
