Rank,Strategy,Stops,Total Time (s),Uncertainty (±s),Pit Laps
1,1-stop · MEDIUM(15L) → SOFT(22L),1,3355.16,1.37,[35]
2,1-stop · MEDIUM(18L) → SOFT(19L),1,3355.78,1.45,[38]
3,1-stop · MEDIUM(16L) → SOFT(21L),1,3355.9,2.01,[36]
4,1-stop · MEDIUM(17L) → SOFT(20L),1,3355.9,1.2,[37]
5,1-stop · MEDIUM(19L) → SOFT(18L),1,3356.31,1.59,[39]
6,1-stop · MEDIUM(20L) → SOFT(17L),1,3356.82,1.7,[40]
7,1-stop · MEDIUM(21L) → SOFT(16L),1,3357.64,1.82,[41]
8,1-stop · MEDIUM(22L) → SOFT(15L),1,3358.63,1.75,[42]
9,1-stop · MEDIUM(23L) → SOFT(14L),1,3359.56,1.52,[43]
10,1-stop · MEDIUM(24L) → SOFT(13L),1,3360.02,1.29,[44]
